ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
2556,Josh Cribbs,CLE,27,WR,2010,15,5,39,23,59.00%,292,12.7,1,11,41,65,7.5,1.5,19.5,7,CribJo01
2557,Legedu Naanee,SDG,27,WR,2010,10,9,46,23,50.00%,371,16.1,1,20,47.8,59,8.1,2.3,37.1,1,NaanLe00
2558,Chris Chambers,KAN,32,WR,2010,13,7,43,22,51.20%,213,9.7,1,13,41.9,26,5,1.7,16.4,0,ChamCh00
2559,Harry Douglas,ATL,26,WR,2010,16,4,53,22,41.50%,294,13.4,1,15,35.8,46,5.5,1.4,18.4,0,DougHa00
2560,Antwaan Randle El,PIT,31,WR,2010,16,0,39,22,56.40%,253,11.5,0,15,43.6,34,6.5,1.4,15.8,2,RandAn00
2561,Demaryius Thomas,DEN,23,WR,2010,10,2,39,22,56.40%,283,12.9,2,15,43.6,31,7.3,2.2,28.3,3,ThomDe03
2562,Craig Davis,SDG,25,WR,2010,7,1,39,21,53.80%,259,12.3,1,14,41,49,6.6,3,37,0,DaviCr00
2563,Dexter McCluster,KAN,21,WR,2010,11,7,39,21,53.80%,209,10,1,11,41,31,5.4,1.9,19,2,McClDe00
2564,Golden Tate,SEA,22,WR,2010,11,0,39,21,53.80%,227,10.8,0,8,43.6,52,5.8,1.9,20.6,1,TateGo00
2565,Danario Alexander,STL,24,WR,2010,8,2,37,20,54.10%,306,15.3,1,12,45.9,46,8.3,2.5,38.3,0,AlexDa00
2566,Greg Camarillo,MIN,28,WR,2010,16,1,34,20,58.80%,240,12,1,12,41.2,31,7.1,1.3,15,0,CamaGr00
2567,Justin Gage,TEN,29,WR,2010,11,4,43,20,46.50%,266,13.3,1,14,39.5,30,6.2,1.8,24.2,0,GageJu00
2568,Jerome Simpson,CIN,24,WR,2010,5,3,25,20,80.00%,277,13.9,3,14,76,59,11.1,4,55.4,2,SimpJe00
2569,Brian Finneran,ATL,34,WR,2010,16,1,32,19,59.40%,166,8.7,3,11,46.9,21,5.2,1.2,10.4,0,FinnBr00
2570,Terrance Copper,KAN,28,WR,2010,16,3,28,18,64.30%,157,8.7,0,9,50,20,5.6,1.1,9.8,0,CoppTe00
2571,Bryant Johnson,DET,29,WR,2010,14,7,49,18,36.70%,210,11.7,0,11,28.6,24,4.3,1.3,15,0,JohnBr02
2572,Donald Jones,BUF,23,WR,2010,15,5,41,18,43.90%,213,11.8,1,8,26.8,40,5.2,1.2,14.2,0,JoneDo00
2573,Greg Lewis,MIN,30,WR,2010,13,5,37,17,45.90%,197,11.6,0,8,35.1,33,5.3,1.3,15.2,0,LewiGr01
2574,Sidney Rice,MIN,24,WR,2010,6,5,42,17,40.50%,280,16.5,2,14,40.5,46,6.7,2.8,46.7,0,RiceSi01
2575,Micheal Spurlock,TAM,27,WR,2010,16,1,33,17,51.50%,250,14.7,2,12,39.4,43,7.6,1.1,15.6,2,SpurMi00
2576,Antonio Brown,PIT,22,WR,2010,9,0,19,16,84.20%,167,10.4,0,11,68.4,26,8.8,1.8,18.6,1,BrowAn04
2577,Evan Moore,CLE,25,WR,2010,12,4,26,16,61.50%,322,20.1,1,11,57.7,49,12.4,1.3,26.8,1,MoorEv00
2578,Damian Williams,TEN,22,WR,2010,16,1,28,16,57.10%,219,13.7,0,10,42.9,39,7.8,1,13.7,0,WillDa04
2579,Sam Hurd,DAL,25,WR,2010,15,1,23,14,60.90%,120,8.6,0,11,60.9,13,5.2,0.9,8,0,HurdSa00
2580,Vincent Jackson,SDG,27,WR,2010,5,5,24,14,58.30%,248,17.7,3,12,58.3,58,10.3,2.8,49.6,0,JackVi00
2581,Seyi Ajirotutu,SDG,23,WR,2010,10,0,23,13,56.50%,262,20.2,2,12,56.5,55,11.4,1.3,26.2,0,AjirSe00
2582,Kelley Washington,SDG,31,WR,2010,8,0,14,13,92.90%,173,13.3,1,10,85.7,36,12.4,1.6,21.6,0,WashKe00
2583,Joey Galloway,WAS,39,WR,2010,10,4,38,12,31.60%,173,14.4,0,9,28.9,62,4.6,1.2,17.3,0,GallJo00
2584,Ted Ginn Jr.,SFO,25,WR,2010,13,0,35,12,34.30%,163,13.6,1,5,25.7,37,4.7,0.9,12.5,1,GinnTe00
2585,Max Komar,ARI,23,WR,2010,8,0,22,12,54.50%,117,9.8,0,6,40.9,20,5.3,1.5,14.6,3,KomaMa00
2586,David Anderson,HOU,27,WR,2010,12,1,18,11,61.10%,117,10.6,0,5,44.4,35,6.5,0.9,9.8,0,AndeDa01
2587,Chad Hall,PHI,24,WR,2010,8,1,18,11,61.10%,115,10.5,1,5,44.4,48,6.4,1.4,14.4,0,HallCh00
2588,Jason Hill,2TM,25,WR,2010,8,1,21,11,52.40%,248,22.5,1,0,0,48,11.8,1.4,31,0,HillJa00
2589,Devin Aromashodu,CHI,26,WR,2010,14,2,24,10,41.70%,149,14.9,0,8,37.5,34,6.2,0.7,10.6,0,AromDe00
2590,Johnnie Lee Higgins,OAK,27,WR,2010,13,1,30,10,33.30%,103,10.3,0,5,23.3,26,3.4,0.8,7.9,0,HiggJo00
2591,Rashied Davis,CHI,31,WR,2010,16,0,13,9,69.20%,84,9.3,1,6,53.8,21,6.5,0.6,5.3,1,DaviRa00
2592,Naaman Roosevelt,BUF,23,WR,2010,6,1,17,9,52.90%,139,15.4,0,7,47.1,30,8.2,1.5,23.2,0,RoosNa00
2593,Stephen Williams,ARI,24,WR,2010,11,3,23,9,39.10%,101,11.2,0,5,30.4,17,4.4,0.8,9.2,0,WillSt01
2594,Dominique Zeigler,SFO,26,WR,2010,11,0,15,9,60.00%,98,10.9,0,5,40,20,6.5,0.8,8.9,0,ZiegDo00
2595,Michael Robinson,SEA,27,WR,2010,11,4,13,8,61.50%,37,4.6,0,0,30.8,13,2.8,0.7,3.4,0,RobiMi00
2596,Tiquan Underwood,JAX,23,WR,2010,10,0,22,8,36.40%,111,13.9,0,5,31.8,22,5,0.8,11.1,0,UndeTi00
2597,Roydell Williams,WAS,29,WR,2010,16,0,18,8,44.40%,109,13.6,0,4,38.9,34,6.1,0.5,6.8,0,WillRo05
2598,Adrian Arrington,NOR,25,WR,2010,1,0,9,7,77.80%,79,11.3,0,3,66.7,17,8.8,7,79,0,ArriAd00
2599,David Clowney,2TM,25,WR,2010,13,0,16,7,43.80%,124,17.7,0,0,0,31,7.8,0.5,9.5,0,ClowDa00
2600,Riley Cooper,PHI,23,WR,2010,13,2,18,7,38.90%,116,16.6,1,5,38.9,37,6.4,0.5,8.9,0,CoopRi00
2601,Julian Edelman,NWE,24,WR,2010,15,3,14,7,50.00%,86,12.3,0,3,28.6,40,6.1,0.5,5.7,1,EdelJu00
2602,Ruvell Martin,SEA,28,WR,2010,5,0,9,7,77.80%,158,22.6,1,6,77.8,61,17.6,1.4,31.6,0,MartRu00
2603,Maurice Stovall,TAM,25,WR,2010,12,1,9,7,77.80%,81,11.6,1,4,55.6,38,9,0.6,6.8,0,StovMa00
2604,Dezmon Briscoe,TAM,21,WR,2010,2,0,7,6,85.70%,93,15.5,1,4,57.1,54,13.3,3,46.5,0,BrisDe00
2605,Eric Decker,DEN,23,WR,2010,14,0,8,6,75.00%,106,17.7,1,4,62.5,38,13.3,0.4,7.6,3,DeckEr00
2606,Mardy Gilyard,STL,24,WR,2010,11,2,16,6,37.50%,63,10.5,0,4,31.3,21,3.9,0.5,5.7,1,GilyMa00
2607,Brandon James,IND,23,WR,2010,3,0,11,6,54.50%,40,6.7,0,3,36.4,17,3.6,2,13.3,0,JameBr00
2608,Marlon Moore,MIA,23,WR,2010,9,0,19,6,31.60%,128,21.3,1,4,31.6,57,6.7,0.7,14.2,0,MoorMa02
2609,Kassim Osgood,JAX,30,WR,2010,16,3,16,6,37.50%,60,10,1,4,31.3,24,3.8,0.4,3.8,0,OsgoKa00
2610,Brett Swain,GNB,25,WR,2010,16,1,9,6,66.70%,72,12,0,3,44.4,31,8,0.4,4.5,0,SwaiBr00
2611,Verran Tucker,KAN,22,WR,2010,11,2,19,6,31.60%,114,19,1,5,31.6,38,6,0.5,10.4,0,TuckVe00
2612,Roberto Wallace,MIA,24,WR,2010,12,0,10,6,60.00%,62,10.3,0,1,60,19,6.2,0.5,5.2,0,WallRo01
2613,Eric Weems,ATL,25,WR,2010,16,4,6,6,100.00%,61,10.2,0,3,100,18,10.2,0.4,3.8,0,WeemEr00
2614,Ramses Barden,NYG,24,WR,2010,6,0,7,5,71.40%,64,12.8,0,1,57.1,26,9.1,0.8,10.7,0,BardRa00
2615,Anthony Gonzalez,IND,26,WR,2010,2,0,9,5,55.60%,67,13.4,0,3,44.4,34,7.4,2.5,33.5,0,GonzAn00
2616,Lavelle Hawkins,TEN,24,WR,2010,6,0,6,5,83.30%,61,12.2,0,3,66.7,24,10.2,0.8,10.2,0,HawkLa00
2617,Chaz Schilens,OAK,25,WR,2010,5,0,9,5,55.60%,40,8,1,4,55.6,11,4.4,1,8,0,SchiCh00
2618,Preston Parker,TAM,23,WR,2010,9,0,9,4,44.40%,42,10.5,0,3,44.4,21,4.7,0.4,4.7,0,ParkPr00
2619,Brad Smith,NYJ,27,WR,2010,16,2,7,4,57.10%,44,11,0,2,28.6,23,6.3,0.3,2.8,1,SmitBr01
2620,Terrence Austin,WAS,22,WR,2010,5,0,5,3,60.00%,47,15.7,0,3,60,28,9.4,0.6,9.4,0,AustTe00
2621,Nick Miller,OAK,23,WR,2010,9,0,4,3,75.00%,40,13.3,0,1,50,32,10,0.3,4.4,2,MillNi00
2622,Kevin Ogletree,DAL,23,WR,2010,6,0,6,3,50.00%,34,11.3,0,2,33.3,19,5.7,0.5,5.7,0,OgleKe00
2623,Taylor Price,NWE,23,WR,2010,1,0,4,3,75.00%,41,13.7,0,3,75,18,10.3,3,41,0,PricTa00
2624,Derrick Williams,DET,24,WR,2010,7,1,5,3,60.00%,30,10,0,1,40,17,6,0.4,4.3,0,WillDe05
2625,Brandon Banks,WAS,23,WR,2010,13,0,5,2,40.00%,10,5,0,1,20,15,2,0.2,0.8,2,BankBr00
2626,Michael Clayton,NYG,28,WR,2010,6,0,4,2,50.00%,19,9.5,0,1,25,14,4.8,0.3,3.2,0,ClayMi00
2627,Quan Cosby,CIN,28,WR,2010,16,0,2,2,100.00%,16,8,0,1,100,11,8,0.1,1,0,CosbQu00
2628,Yamon Figurs,2TM,27,WR,2010,2,0,2,2,100.00%,17,8.5,0,0,0,11,8.5,1,8.5,1,FiguYa00
2629,Dwayne Jarrett,CAR,24,WR,2010,3,0,5,2,40.00%,40,20,0,2,40,21,8,0.7,13.3,0,JarrDw00
2630,Donte' Stallworth,BAL,30,WR,2010,8,0,5,2,40.00%,82,41,0,2,40,67,16.4,0.3,10.3,1,StalDo00
2631,Patrick Turner,NYJ,23,WR,2010,5,0,2,2,100.00%,26,13,0,0,0,21,13,0.4,5.2,0,TurnPa00
2632,Sam Aiken,CLE,30,WR,2010,3,0,1,1,100.00%,7,7,0,0,0,7,7,0.3,2.3,0,AikeSa00
2633,Gary Banks,SDG,29,WR,2010,2,2,3,1,33.30%,2,2,0,0,0,2,0.7,0.5,1,0,BankGa00
2634,Hank Baskett,2TM,28,WR,2010,8,0,4,1,25.00%,18,18,0,0,0,18,4.5,0.1,2.3,0,BaskHa00
2635,Duke Calhoun,NYG,23,WR,2010,9,0,2,1,50.00%,4,4,0,0,0,4,2,0.1,0.4,0,CalhDu00
2636,Kevin Curtis,2TM,32,WR,2010,2,0,2,1,50.00%,6,6,0,0,0,6,3,0.5,3,0,CurtKe00
2637,Richard Goodman,SDG,23,WR,2010,3,0,2,1,50.00%,25,25,0,0,0,25,12.5,0.3,8.3,1,GoodRi00
2638,Paul Hubbard,BUF,25,WR,2010,1,1,3,1,33.30%,8,8,0,0,0,8,2.7,1,8,0,HubbPa00
2639,Manuel Johnson,DAL,24,WR,2010,2,0,5,1,20.00%,6,6,0,0,0,6,1.2,0.5,3,0,JohnMa04
2640,Ernest Wilford,JAX,31,WR,2010,2,0,2,1,50.00%,3,3,0,0,0,3,1.5,0.5,1.5,0,WilfEr00
2641,Kyle Williams,SFO,22,WR,2010,5,0,1,1,100.00%,8,8,0,0,0,8,8,0.2,1.6,0,WillKy01
2642,Matt Willis,DEN,26,WR,2010,6,0,2,1,50.00%,17,17,0,1,50,17,8.5,0.2,2.8,0,WillMa00
2643,Arnaz Battle,PIT,30,WR,2010,15,0,2,0,0.00%,0,,0,0,0,0,0,0,0,,BattAr00
2644,Brian Clark,DET,27,WR,2010,4,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,ClarBr00
2645,Jeremy Horne,KAN,24,WR,2010,3,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,HornJe00
2646,Marc Mariani,TEN,23,WR,2010,16,0,2,0,0.00%,0,,0,0,0,0,0,0,0,3,MariMa00
2647,John Matthews,JAX,24,WR,2010,3,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,MattJo22
2648,Carlton Mitchell,CLE,22,WR,2010,5,0,1,0,0.00%,0,,0,0,0,0,0,0,0,0,MitcCa00
2649,David Reed,BAL,23,WR,2010,13,0,1,0,0.00%,0,,0,0,0,0,0,0,0,0,ReedDa00
2650,Matthew Slater,NWE,25,WR,2010,15,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,SlatMa00
2651,Devin Thomas,3TM,24,WR,2010,9,0,1,0,0.00%,0,,0,0,0,0,0,0,0,0,ThomDe02
2652,Demetrius Williams,CLE,27,WR,2010,2,0,2,0,0.00%,0,,0,0,0,0,0,0,0,,WillDe03
2653,Wes Welker,NWE,30,WR,2011,16,15,173,122,70.50%,1569,12.9,9,77,65.9,99,9.1,7.6,98.1,1,WelkWe00
2654,Roddy White,ATL,30,WR,2011,16,16,180,100,55.60%,1296,13,8,77,50,43,7.2,6.3,81,0,WhitRo00
2655,Calvin Johnson,DET,26,WR,2011,16,16,158,96,60.80%,1681,17.5,16,76,57,73,10.6,6,105.1,1,JohnCa00
2656,Percy Harvin,MIN,23,WR,2011,16,14,121,87,71.90%,967,11.1,6,47,50.4,52,8,5.4,60.4,2,HarvPe00
2657,Victor Cruz,NYG,25,WR,2011,16,7,131,82,62.60%,1536,18.7,9,59,56.5,99,11.7,5.1,96,1,CruzVi00
2658,Dwayne Bowe,KAN,27,WR,2011,16,14,142,81,57.00%,1159,14.3,5,56,50,52,8.2,5.1,72.4,1,BoweDw00
2659,Brandon Marshall,MIA,27,WR,2011,16,16,141,81,57.40%,1214,15,6,53,49.6,65,8.6,5.1,75.9,1,MarsBr00
2660,Marques Colston,NOR,28,WR,2011,14,7,107,80,74.80%,1143,14.3,8,56,70.1,50,10.7,5.7,81.6,1,ColsMa00
2661,Larry Fitzgerald,ARI,28,WR,2011,16,16,154,80,51.90%,1411,17.6,8,60,48.1,73,9.2,5,88.2,0,FitzLa00
2662,Steve Smith Sr.,CAR,32,WR,2011,16,16,129,79,61.20%,1394,17.6,7,53,51.2,77,10.8,4.9,87.1,3,SmitSt01
2663,Steve Johnson,BUF,25,WR,2011,16,16,134,76,56.70%,1004,13.2,7,44,45.5,55,7.5,4.8,62.8,0,JohnSt00
2664,Hakeem Nicks,NYG,23,WR,2011,15,15,133,76,57.10%,1192,15.7,7,54,52.6,68,9,5.1,79.5,0,NickHa01
2665,Reggie Wayne,IND,33,WR,2011,16,16,132,75,56.80%,960,12.8,4,50,50.8,56,7.3,4.7,60,0,WaynRe00
2666,Nate Washington,TEN,28,WR,2011,16,15,121,74,61.20%,1023,13.8,7,47,49.6,57,8.5,4.6,63.9,0,WashNa00
2667,Nate Burleson,DET,30,WR,2011,16,11,110,73,66.40%,757,10.4,3,36,53.6,47,6.9,4.6,47.3,1,BurlNa00
2668,Michael Crabtree,SFO,24,WR,2011,15,14,115,72,62.60%,874,12.1,4,40,50.4,52,7.6,4.8,58.3,0,CrabMi00
2669,Mike Wallace,PIT,25,WR,2011,16,14,114,72,63.20%,1193,16.6,8,53,57.9,95,10.5,4.5,74.6,1,WallMi00
2670,Pierre Garcon,IND,25,WR,2011,16,16,134,70,52.20%,947,13.5,6,42,38.8,87,7.1,4.4,59.2,2,GarcPi00
2671,Brandon Lloyd,2TM,30,WR,2011,15,14,148,70,47.30%,966,13.8,5,0,0,44,6.5,4.7,64.4,1,LloyBr00
2672,Antonio Brown,PIT,23,WR,2011,16,3,124,69,55.60%,1108,16.1,2,57,49.2,79,8.9,4.3,69.3,0,BrowAn04
2673,Jabar Gaffney,WAS,31,WR,2011,16,15,114,68,59.60%,947,13.9,5,50,51.8,45,8.3,4.3,59.2,1,GaffJa00
2674,Jordy Nelson,GNB,26,WR,2011,16,9,96,68,70.80%,1263,18.6,15,47,66.7,93,13.2,4.3,78.9,0,NelsJo00
2675,Greg Jennings,GNB,28,WR,2011,13,13,101,67,66.30%,949,14.2,9,43,56.4,79,9.4,5.2,73,0,JennGr00
2676,A.J. Green,CIN,23,WR,2011,15,15,115,65,56.50%,1057,16.3,7,40,46.1,58,9.2,4.3,70.5,1,GreeA.00
2677,Mike Williams,TAM,24,WR,2011,16,15,124,65,52.40%,771,11.9,3,42,44.4,42,6.2,4.1,48.2,2,WillMi04
2678,Darrius Heyward-Bey,OAK,24,WR,2011,15,14,115,64,55.70%,975,15.2,4,44,51.3,58,8.5,4.3,65,1,HeywDa00
2679,Dez Bryant,DAL,23,WR,2011,15,13,103,63,61.20%,928,14.7,9,48,54.4,50,9,4.2,61.9,3,BryaDe01
2680,Jeremy Maclin,PHI,23,WR,2011,13,13,96,63,65.60%,859,13.6,5,43,56.3,59,8.9,4.8,66.1,1,MaclJe00
2681,Steve Breaston,KAN,28,WR,2011,16,13,98,61,62.20%,785,12.9,2,39,44.9,43,8,3.8,49.1,0,BreaSt00
2682,Greg Little,CLE,22,WR,2011,16,12,119,61,51.30%,709,11.6,2,34,42.9,76,6,3.8,44.3,0,LittGr00
2683,Vincent Jackson,SDG,28,WR,2011,16,16,115,60,52.20%,1106,18.4,9,54,47.8,58,9.6,3.8,69.1,0,JackVi00
2684,DeSean Jackson,PHI,25,WR,2011,15,15,104,58,55.80%,961,16.6,4,39,49,62,9.2,3.9,64.1,1,JackDe00
2685,Anquan Boldin,BAL,31,WR,2011,14,14,106,57,53.80%,887,15.6,3,43,48.1,56,8.4,4.1,63.4,0,BoldAn00
2686,Austin Collie,IND,26,WR,2011,16,5,96,54,56.30%,514,9.5,1,35,45.8,27,5.4,3.4,32.1,0,CollAu00
2687,Early Doucet,ARI,26,WR,2011,16,6,97,54,55.70%,689,12.8,5,35,43.3,70,7.1,3.4,43.1,1,DoucEa00
2688,Julio Jones,ATL,22,WR,2011,13,13,95,54,56.80%,959,17.8,8,36,43.2,80,10.1,4.2,73.8,1,JoneJu02
2689,Laurent Robinson,DAL,26,WR,2011,14,4,80,54,67.50%,858,15.9,11,36,58.8,74,10.7,3.9,61.3,0,RobiLa01
2690,Jason Avant,PHI,28,WR,2011,16,7,81,52,64.20%,679,13.1,1,32,58,35,8.4,3.3,42.4,2,AvanJa00
2691,Lance Moore,NOR,28,WR,2011,14,7,73,52,71.20%,627,12.1,8,35,64.4,47,8.6,3.7,44.8,0,MoorLa00
2692,Doug Baldwin,SEA,23,WR,2011,16,1,85,51,60.00%,788,15.5,4,40,49.4,55,9.3,3.2,49.3,0,BaldDo00
2693,Davone Bess,MIA,26,WR,2011,16,4,86,51,59.30%,537,10.5,3,25,38.4,41,6.2,3.2,33.6,5,BessDa00
2694,Deion Branch,NWE,32,WR,2011,15,15,90,51,56.70%,702,13.8,5,37,50,63,7.8,3.4,46.8,0,BranDe00
2695,Santonio Holmes,NYJ,27,WR,2011,16,16,101,51,50.50%,654,12.8,8,34,42.6,38,6.5,3.2,40.9,2,HolmSa00
2696,Andre Roberts,ARI,23,WR,2011,16,16,98,51,52.00%,586,11.5,2,28,46.9,45,6,3.2,36.6,1,RobeAn00
2697,Jerome Simpson,CIN,25,WR,2011,16,14,105,50,47.60%,725,14.5,4,33,41.9,84,6.9,3.1,45.3,0,SimpJe00
2698,Torrey Smith,BAL,22,WR,2011,16,14,95,50,52.60%,841,16.8,7,34,42.1,74,8.9,3.1,52.6,1,SmitTo02
2699,Titus Young,DET,22,WR,2011,16,9,86,48,55.80%,607,12.6,6,33,47.7,57,7.1,3,37.9,1,YounTi00
2700,Lavelle Hawkins,TEN,25,WR,2011,16,2,77,47,61.00%,470,10,1,22,44.2,32,6.1,2.9,29.4,1,HawkLa00
2701,Dexter McCluster,KAN,22,WR,2011,16,4,64,46,71.90%,328,7.1,1,15,35.9,49,5.1,2.9,20.5,4,McClDe00
2702,Santana Moss,WAS,32,WR,2011,12,12,95,46,48.40%,584,12.7,4,36,41.1,49,6.1,3.8,48.7,0,MossSa00
2703,Hines Ward,PIT,35,WR,2011,15,9,63,46,73.00%,381,8.3,2,21,54,31,6,3.1,25.4,1,WardHi00
2704,Plaxico Burress,NYJ,34,WR,2011,16,13,96,45,46.90%,612,13.6,8,38,44.8,30,6.4,2.8,38.3,0,BurrPl00
2705,Damian Williams,TEN,23,WR,2011,15,13,94,45,47.90%,592,13.2,5,27,40.4,54,6.3,3,39.5,0,WillDa04
2706,Eric Decker,DEN,24,WR,2011,16,13,96,44,45.80%,612,13.9,8,30,37.5,56,6.4,2.8,38.3,1,DeckEr00
2707,Legedu Naanee,CAR,28,WR,2011,15,10,76,44,57.90%,467,10.6,1,20,42.1,28,6.1,2.9,31.1,0,NaanLe00
2708,Mike Thomas,JAX,24,WR,2011,15,13,91,44,48.40%,415,9.4,1,20,34.1,47,4.6,2.9,27.7,1,ThomMi01
2709,Miles Austin,DAL,27,WR,2011,10,10,73,43,58.90%,579,13.5,7,31,54.8,53,7.9,4.3,57.9,1,AustMi00
2710,Malcom Floyd,SDG,30,WR,2011,12,9,70,43,61.40%,856,19.9,5,41,61.4,52,12.2,3.6,71.3,0,FloyMa00
2711,Josh Cribbs,CLE,28,WR,2011,16,7,67,41,61.20%,518,12.6,4,27,52.2,45,7.7,2.6,32.4,3,CribJo01
2712,Robert Meachem,NOR,27,WR,2011,16,8,60,40,66.70%,620,15.5,6,29,61.7,67,10.3,2.5,38.8,0,MeacRo00
2713,Preston Parker,TAM,24,WR,2011,16,0,65,40,61.50%,554,13.9,3,26,49.2,51,8.5,2.5,34.6,8,ParkPr00
2714,Harry Douglas,ATL,27,WR,2011,16,4,62,39,62.90%,498,12.8,1,20,43.5,49,8,2.4,31.1,0,DougHa00
2715,Mario Manningham,NYG,25,WR,2011,12,10,77,39,50.60%,523,13.4,4,25,44.2,47,6.8,3.3,43.6,0,MannMa01
2716,Kevin Walter,HOU,30,WR,2011,15,14,59,39,66.10%,474,12.2,3,26,57.6,41,8,2.6,31.6,0,WaltKe00
2717,Michael Jenkins,MIN,29,WR,2011,11,7,55,38,69.10%,466,12.3,3,22,50.9,72,8.5,3.5,42.4,2,JenkMi00
2718,James Jones,GNB,27,WR,2011,16,0,55,38,69.10%,635,16.7,7,27,58.2,70,11.5,2.4,39.7,1,JoneJa04
2719,Andre Caldwell,CIN,26,WR,2011,13,2,68,37,54.40%,317,8.6,3,16,38.2,49,4.7,2.8,24.4,0,CaldAn00
2720,Donald Driver,GNB,36,WR,2011,16,15,56,37,66.10%,445,12,6,20,55.4,35,7.9,2.3,27.8,0,DrivDo00
2721,Johnny Knox,CHI,25,WR,2011,14,11,69,37,53.60%,727,19.6,2,31,46.4,81,10.5,2.6,51.9,1,KnoxJo00
2722,Ben Obomanu,SEA,28,WR,2011,16,7,61,37,60.70%,436,11.8,2,16,45.9,55,7.1,2.3,27.3,0,ObomBe00
2723,Roy Williams,CHI,30,WR,2011,15,9,63,37,58.70%,507,13.7,2,29,57.1,25,8,2.5,33.8,0,WillRo04
2724,Brandon Gibson,STL,24,WR,2011,15,9,71,36,50.70%,431,12,1,28,42.3,34,6.1,2.4,28.7,0,GibsBr00
2725,Brandon LaFell,CAR,25,WR,2011,16,6,56,36,64.30%,613,17,3,25,51.8,91,10.9,2.3,38.3,0,LaFeBr00
2726,Dezmon Briscoe,TAM,22,WR,2011,16,2,51,35,68.60%,387,11.1,6,20,64.7,46,7.6,2.2,24.2,0,BrisDe00
2727,Brian Hartline,MIA,25,WR,2011,16,10,66,35,53.00%,549,15.7,1,30,50,41,8.3,2.2,34.3,0,HartBr00
2728,Golden Tate,SEA,23,WR,2011,16,5,58,35,60.30%,382,10.9,3,17,43.1,33,6.6,2.2,23.9,1,TateGo00
2729,Andre Johnson,HOU,30,WR,2011,7,7,51,33,64.70%,492,14.9,2,23,58.8,50,9.6,4.7,70.3,0,JohnAn02
2730,Denarius Moore,OAK,23,WR,2011,13,10,76,33,43.40%,618,18.7,5,26,39.5,78,8.1,2.5,47.5,1,MoorDe02
2731,Devery Henderson,NOR,29,WR,2011,16,13,50,32,64.00%,503,15.7,2,22,62,79,10.1,2,31.4,1,HendDe00
2732,Sidney Rice,SEA,25,WR,2011,9,9,57,32,56.10%,484,15.1,2,19,47.4,52,8.5,3.6,53.8,1,RiceSi01
2733,Demaryius Thomas,DEN,24,WR,2011,11,5,70,32,45.70%,551,17.2,4,25,41.4,47,7.9,2.9,50.1,0,ThomDe03
2734,Jacoby Jones,HOU,27,WR,2011,16,10,65,31,47.70%,512,16.5,2,23,41.5,80,7.9,1.9,32,0,JoneJa03
2735,Mohamed Massaquoi,CLE,25,WR,2011,14,13,74,31,41.90%,384,12.4,2,18,39.2,56,5.2,2.2,27.4,0,MassMo00
2736,Arrelious Benn,TAM,23,WR,2011,14,14,51,30,58.80%,441,14.7,3,15,39.2,65,8.6,2.1,31.5,0,BennAr00
2737,Jarett Dillard,JAX,26,WR,2011,14,5,50,29,58.00%,292,10.1,1,17,42,25,5.8,2.1,20.9,1,DillJa00
2738,Jeremy Kerley,NYJ,23,WR,2011,14,1,47,29,61.70%,314,10.8,1,19,51.1,38,6.7,2.1,22.4,3,KerlJe00
2739,Austin Pettis,STL,23,WR,2011,12,3,48,27,56.30%,256,9.5,0,14,45.8,35,5.3,2.3,21.3,2,PettAu00
2740,Greg Salas,STL,23,WR,2011,6,0,38,27,71.10%,264,9.8,0,11,42.1,21,6.9,4.5,44,3,SalaGr00
2741,Dane Sanzenbacher,CHI,23,WR,2011,16,1,54,27,50.00%,276,10.2,3,16,44.4,22,5.1,1.7,17.3,0,SanzDa00
2742,Danario Alexander,STL,25,WR,2011,10,5,60,26,43.30%,431,16.6,2,19,41.7,68,7.2,2.6,43.1,0,AlexDa00
2743,Devin Aromashodu,MIN,27,WR,2011,16,6,84,26,31.00%,468,18,1,21,29.8,60,5.6,1.6,29.3,1,AromDe00
2744,Devin Hester,CHI,29,WR,2011,16,8,56,26,46.40%,369,14.2,1,16,35.7,53,6.6,1.6,23.1,5,HestDe99
2745,Randall Cobb,GNB,21,WR,2011,15,0,31,25,80.60%,375,15,1,15,74.2,61,12.1,1.7,25,3,CobbRa00
2746,Jason Hill,JAX,26,WR,2011,10,10,55,25,45.50%,367,14.7,3,18,34.5,74,6.7,2.5,36.7,0,HillJa00
2747,Earl Bennett,CHI,24,WR,2011,11,4,43,24,55.80%,381,15.9,1,14,48.8,49,8.9,2.2,34.6,1,BennEa00
2748,Derek Hagan,2TM,27,WR,2011,10,3,42,24,57.10%,252,10.5,1,0,0,29,6,2.4,25.2,0,HagaDe00
2749,Patrick Crayton,SDG,32,WR,2011,14,1,34,23,67.60%,248,10.8,1,17,50,28,7.3,1.6,17.7,2,CrayPa00
2750,Andrew Hawkins,CIN,25,WR,2011,13,0,34,23,67.60%,263,11.4,0,12,47.1,26,7.7,1.8,20.2,0,HawkAn00
